시가,고가,저가,종가,거래량,거래대금,등락률
199500,200500,199000,200000,684,136521500,-0.25
133500,134500,131500,133500,1991,265276500,-0.74
66800,67000,66300,66900,373,24922600,0.15
80000,80000,79100,79900,385,30619400,0.13
3325,3340,3310,3340,9867,32878390,0.45
2990,2990,2890,2965,57642,168047780,0.68
4165,4370,4165,4290,166385,710436915,3.0
8600,8850,8570,8800,95252,832160310,3.41
5110,5250,4890,4910,3829868,19380018780,-0.51
206,207,205,206,161873,33252162,0.0
2620,2760,2615,2710,397928,1077078110,3.83
1635,1705,1630,1660,83350,138264660,1.53
10150,10400,10050,10300,83300,854388750,3.0
706,725,705,722,219774,158047806,1.4
8220,8590,8220,8580,307471,2611440370,4.51
21100,21750,21100,21750,1738,36875900,2.59
20150,20250,20100,20200,830,16698250,0.5
3390,3605,3380,3565,128278,453582095,4.85
75500,78900,75500,78600,1249,97082400,3.15
810,827,797,821,1791786,1460715933,2.63
1620,1685,1595,1670,96899,160870040,3.09
5920,6080,5880,5960,22762,135302290,0.68
0,0,0,904,0,0,0.0
46100,47800,46050,47000,6597,308414750,2.51
23950,24600,23950,24300,12865,312956750,1.46
1515,1565,1515,1560,2811562,4337161630,2.97
43100,44000,43000,44000,4088,178827600,2.21
4800,4990,4800,4980,45399,224219410,3.0
9040,9190,8970,9190,20017,182389410,1.43
2335,2370,2240,2260,11407710,26221325110,0.0
512000,536000,509000,536000,206871,108566345000,5.93
264000,270500,259500,270500,1814,484378500,3.44
10500,10700,10300,10700,9887,104252050,2.88
122500,123000,119000,122000,423752,51221428500,0.41
107500,108500,106500,107500,1524,163414000,0.0
793000,805000,790000,805000,50698,40535162000,1.77
62800,63800,62400,63500,181925,11507913900,1.76
130000,132000,129000,130000,100759,13118892500,1.17
22300,22700,21850,22050,1045015,23171951350,0.46
128500,134000,128000,132000,565792,74359268500,4.35
72400,74000,72100,74000,5528,406164700,3.21
57600,58200,57200,57200,14216539,818079785900,0.18
52200,52800,52200,52200,894214,46875754600,0.38
3100,3215,3090,3195,187487,595455635,2.73
5770,5850,5700,5850,2644592,15335814570,2.09
226500,230500,226500,230500,474,108735500,1.32
34150,34800,33900,34550,312688,10717901600,1.92
23500,24000,23200,24000,22249,528300450,4.35
31000,31850,30750,31750,76530,2389573050,3.08
202500,202500,196000,196500,142772,28289214750,-2.48
156500,157000,155500,156500,2789,435714000,0.0
16250,17150,16250,16900,35288,598098050,2.74
40500,40900,40050,40800,17411,704209900,1.87
31150,32100,31150,32100,335,10553750,0.31
104000,107500,102500,105500,81863,8561986000,1.44
52800,53500,52600,53500,3288,174874300,1.71
16550,17150,16500,17150,5791,97779950,4.26
71900,73300,71300,72300,8629,623781500,1.54
57900,58100,57900,58100,19,1102700,0.52
13400,13450,13250,13450,7608,101373300,0.37
10300,10650,10300,10550,44938,470812650,1.93
2385,2440,2335,2410,65603,157399460,2.34
2495,2560,2495,2550,8579,21728205,2.41
11950,12150,11850,11950,39294,470299550,0.42
1335,1385,1335,1380,84737,115701780,2.99
7100,7290,6980,7290,6091,43693490,2.68
7380,7560,7350,7550,57671,430527520,1.89
25700,26300,25400,26000,2040,52549500,1.17
24500,24700,24500,24700,4512,111090600,1.02
181500,185500,179500,184500,19159,3470421500,1.1
3800,3950,3800,3920,36783,143422640,3.16
35700,36900,35700,36500,5000,181535150,1.53
16800,18200,16800,18150,20731,364545450,7.4
2845,2920,2845,2900,13926,40163345,1.58
38100,39400,38100,39050,36378,1412636950,2.09
6400,6800,6400,6610,17737,116984760,2.8
970,994,953,955,109270,105237446,-1.55
3085,3250,3080,3215,21825,69627870,3.04
4665,4870,4585,4720,9152,42917010,1.72
56200,57900,56200,57400,58536,3340791100,0.88
35650,36450,35650,36250,12187,440024000,1.97
6890,7160,6880,7150,75365,532080600,4.23
7800,7950,7630,7930,199470,1561165750,1.93
237500,240000,237000,238500,7896,1879422500,0.0
247,251,245,250,2536553,632704868,3.31
3290,3330,3210,3225,7790,25110555,-0.46
1320,1400,1320,1385,191686,261692825,5.73
32450,32650,32050,32300,5227,169048150,-0.46
0,0,0,3000,0,0,0.0
9630,9980,9620,9950,144228,1414518910,2.58
1650,1700,1635,1690,62313,104231190,3.36
8240,8240,8010,8010,273,2204630,-1.35
3600,3695,3580,3630,672397,2432566490,3.71
9060,9430,9040,9330,98641,916343590,3.44
13100,13700,12950,13350,11643,156074800,1.14
540,540,528,540,707148,378398336,1.12
1945,1985,1920,1980,107546,211095685,2.59
8140,8400,8030,8350,15903,130374670,1.46
9980,10350,9980,10200,70864,714389640,2.2
6690,6780,6690,6770,100,674610,0.45
49700,51800,49700,51400,44944,2294104250,3.01
15000,16000,15000,16000,52272,810676250,6.31
156000,165500,154000,163000,28405,4580738500,4.49
136000,144000,136000,143000,20172,2838211500,2.51
13850,14050,13650,13850,6507,90327450,0.73
96300,96600,95500,96500,106,10190300,0.21
1565,1625,1560,1595,177185,280788500,2.9
587,597,575,585,624465,364468068,-0.34
0,0,0,8090,0,0,0.0
2760,2850,2720,2840,24116,67229845,2.16
5120,5330,5100,5330,38094,199992600,4.51
5930,6050,5820,6000,304993,1802468280,1.87
1265,1310,1265,1305,65531,85078185,2.35
11400,12200,11400,12100,10652,126771150,5.22
0,0,0,2490,0,0,0.0
180000,183000,177500,183000,453142,82014266024,1.95
42550,43950,42500,43800,169881,7373293450,3.06
9920,10400,9920,10400,9324,95186440,4.31
12900,13500,12900,13500,2092,27707250,3.45
19350,19800,19100,19500,122424,2385535150,1.04
19450,20100,19400,20050,204604,4052845950,3.35
3120,3335,3080,3200,3961988,12730283120,7.2
8030,8100,8010,8050,44713,359465930,0.0
7150,7370,7060,7280,212901,1538257670,4.3
42250,42850,41000,42850,901,37842550,1.42
87200,87200,86600,86800,236,20520300,0.0
31950,32050,31500,32000,16033,508902250,0.95
10400,10550,10300,10400,3846,40213600,0.0
1985,2040,1985,2015,1410331,2845430775,2.03
2785,2940,2785,2940,386888,1111894525,4.81
219000,221500,216500,219000,24799,5424912500,0.69
13350,13900,13350,13700,16788,228150750,2.24
24600,25850,24500,25800,7450,186498600,4.88
29950,30450,29350,30150,102918,3090651050,2.03
56700,58900,56700,58900,4201,243240000,3.88
13200,13550,12650,13150,1568132,20461424700,-3.31
11150,11400,11150,11400,3554,40212650,1.79
55300,55700,55000,55300,1011,56055500,0.18
55600,56700,55600,56700,62,3471800,1.98
1585,1640,1585,1635,528002,853503135,3.81
0,0,0,26800,0,0,0.0
2280,2300,2235,2275,2164535,4914307615,-0.66
21850,23200,21750,23100,580930,13226876050,5.72
41200,45500,41200,45000,21688,966953300,7.27
1465,1570,1410,1560,192903,295316760,8.33
4810,4955,4760,4950,217459,1064009540,2.91
7630,7820,7540,7820,117354,897705250,2.62
37700,37800,36850,37300,1190411,44278362200,0.13
16100,16200,16000,16200,1418,22766450,0.62
522,543,522,543,8422895,4515847111,4.22
6820,6830,6710,6790,300339,2032794760,0.3
0,0,0,2770,0,0,0.0
2600,2675,2580,2660,642770,1697905290,3.3
0,0,0,6410,0,0,0.0
1230,1330,1230,1255,1941915,2480206765,2.45
54400,54800,51900,52900,289754,15324716600,-1.86
2265,2320,2255,2320,1282723,2937988680,3.11
37400,38250,37150,37700,89559,3372232900,0.94
31450,31600,31150,31400,1029,32265700,0.16
14250,14450,14000,14250,19370,272484300,0.35
129000,132000,128000,130000,122989,15941870000,1.56
50000,50900,49850,50100,15259,766168450,0.2
118000,119000,117500,118500,539,63622500,1.28
9900,10300,9780,10300,60390,610755280,4.78
33800,34050,33100,33950,12930,437298350,0.44
1140,1185,1140,1170,123033,142238475,2.18
13300,13800,13300,13750,10958,148828700,2.61
15400,15550,15200,15350,272632,4181951550,0.66
10100,10250,10050,10200,34102,346465350,0.99
39000,39400,38300,38750,84215,3259747850,0.26
9830,10250,9830,10200,90947,917097120,4.94
2835,2915,2835,2895,595302,1711702140,2.3
13700,14300,13700,14200,8228,116115200,3.65
8210,8430,8190,8380,33507,279804950,2.82
1280,1340,1280,1330,198086,262393505,3.5
40600,43950,40500,42850,697602,29783969450,6.2
30950,31400,29050,30000,332301,9925254400,-2.91
0,0,0,1530,0,0,0.0
65400,65800,64500,64600,29599,1925041100,-1.22
2325,2450,2315,2395,197996,468139475,1.48
1400,1445,1395,1420,207273,294685405,2.53
5620,5660,5500,5590,912,5093530,0.54
5020,5250,5020,5020,13874,71154020,0.2
2100,2230,2085,2230,137819,297015800,5.94
1685,1695,1630,1660,2539011,4223216295,0.3
578,597,577,590,268501,157863877,1.72
5220,5370,5190,5370,26900,141813040,1.7
355000,370500,355000,362500,146662,53445087000,2.26
2100,2100,2085,2100,46506,97280065,0.0
842,867,842,867,39527,34015742,2.73
2790,2875,2625,2850,173784,488649405,3.07
30150,31650,30150,31400,68493,2142017950,4.67
3410,3560,3410,3545,40473,140401345,3.05
38800,39000,37700,38650,84321,3250160800,0.78
47200,48000,46400,47100,12776,599184100,-0.21
3400,3530,3400,3510,242187,844799595,3.24
540000,543000,532000,538000,384,206774000,0.75
7180,7250,6990,7170,89043,636346440,1.41
1040,1070,1025,1065,161938,170867655,4.93
733,758,733,758,74428,55840959,3.41
34700,35050,34400,35050,944,32819100,1.01
438000,445000,430500,433000,2935,1275294500,-1.03
718,762,718,761,425921,320240646,4.97
108000,108500,101500,105000,221429,22953154500,-2.78
15400,15400,14800,15000,97840,1469497850,-2.28
809,844,808,814,1023422,843869409,1.88
3910,4020,3910,3990,20029,79788050,2.57
11700,11950,11600,11900,2517453,29661718500,2.15
